system,parameter,spec_value,relative_error,value,noise,mmd_p,mmd_detect,ks_p,ks_detect,discriminator_auc,discriminator_p,discriminator_detect,screen_detect,screen_localised,screen_exact,target_generator,target_ratio,target_p
acrobot,g,9.8,0.0003,9.80294,0.001,0.9999000099990001,False,1.0,False,0.5064287160843859,0.31839966773986816,False,False,,False,energy,0.9593846069838856,1.0
acrobot,g,9.8,0.001,9.8098,0.001,0.9999000099990001,False,1.0,False,0.5064225417508434,0.31856152415275574,False,False,,False,energy,0.9583111384189044,1.0
acrobot,g,9.8,0.003,9.8294,0.001,0.9999000099990001,False,1.0,False,0.506365737882253,0.3200523257255554,False,False,,False,energy,0.9653471963683794,1.0
acrobot,g,9.8,0.01,9.898000000000001,0.001,0.9997000299970003,False,1.0,False,0.506365737882253,0.3200523257255554,False,False,,False,energy,1.088946333732465,0.1745920745920746
acrobot,g,9.8,0.03,10.094000000000001,0.001,0.9971002899710029,False,1.0,False,0.506469466685766,0.3173322081565857,False,True,energy,True,energy,1.5154772230342874,0.0004662004662004662
acrobot,g,9.8,0.1,10.780000000000001,0.001,0.27887211278872115,False,0.7025389543105758,False,0.504136803473433,0.3806305229663849,False,True,energy,True,energy,4.031223928677047,0.0002331002331002331
acrobot,g,9.8,0.3,12.740000000000002,0.001,9.999000099990002e-05,True,9.295991072527456e-05,True,0.9394347274155228,0.0,True,True,energy,True,energy,11.142928850029937,0.0002331002331002331
acrobot,lc2,0.5,0.0001,0.50005,0.001,0.9999000099990001,False,1.0,False,0.5063916700831312,0.31937137246131897,False,False,,False,energy,0.9602478537539555,1.0
acrobot,lc2,0.5,0.0003,0.50015,0.001,0.9999000099990001,False,1.0,False,0.5063904352164227,0.3194037973880768,False,False,,False,energy,0.9602722589880367,1.0
acrobot,lc2,0.5,0.001,0.5005,0.001,0.9999000099990001,False,1.0,False,0.5063422754147917,0.32066893577575684,False,False,,False,energy,0.9605387101149135,1.0
acrobot,lc2,0.5,0.003,0.5015,0.001,0.9999000099990001,False,1.0,False,0.5060977718065112,0.32712388038635254,False,False,,False,energy,0.9628436192774872,1.0
acrobot,lc2,0.5,0.01,0.505,0.001,0.9997000299970003,False,1.0,False,0.5055050357864372,0.3429853022098541,False,False,,False,energy,1.0137743771409802,1.0
acrobot,lc2,0.5,0.03,0.515,0.001,0.9994000599940006,False,1.0,False,0.5039194669327393,0.3867267072200775,False,False,,False,energy,1.1208588859392874,0.10536130536130536
acrobot,lc2,0.5,0.1,0.55,0.001,0.7606239376062394,False,0.2026982408727651,False,0.49680169522501744,0.5928871631622314,False,True,energy,True,energy,1.6829450052073338,0.0002331002331002331
acrobot,lc2,0.5,0.3,0.65,0.001,9.999000099990002e-05,True,9.295991072527456e-05,True,0.9591641928170274,0.0,True,True,energy,True,energy,4.2898212990899385,0.0002331002331002331
reacher,l2,0.11,0.0001,0.110011,0.001,0.9745025497450255,False,1.0,False,0.520576583963527,0.06534125655889511,False,False,,False,fk-x,0.9778674526184666,1.0
reacher,l2,0.11,0.0003,0.11003299999999999,0.001,0.9743025697430256,False,1.0,False,0.5205790536969439,0.06531817466020584,False,False,,False,fk-x,0.9828703233023495,1.0
reacher,l2,0.11,0.001,0.11010999999999999,0.001,0.9739026097390261,False,1.0,False,0.5205518866293573,0.06557254493236542,False,True,fk-y,False,fk-x,1.0353436076517304,0.34226884226884224
reacher,l2,0.11,0.003,0.11032999999999998,0.001,0.9741025897410259,False,1.0,False,0.5205543563627743,0.06554938107728958,False,True,fk-x|fk-y,False,fk-x,1.4059683941989307,0.0003885003885003885
reacher,l2,0.11,0.01,0.1111,0.001,0.9736026397360263,False,1.0,False,0.5206716687000805,0.06445673853158951,False,True,fk-x|fk-y,False,fk-x,3.4948341289967786,0.0003885003885003885
reacher,l2,0.11,0.03,0.1133,0.001,0.9724027597240276,False,1.0,False,0.5203549253893535,0.06743974983692169,False,True,fk-x|fk-y,False,fk-x,10.110841935251145,0.0003885003885003885
reacher,l2,0.11,0.1,0.12100000000000001,0.001,0.9585041495850415,False,1.0,False,0.5198887632068995,0.07202257961034775,False,True,fk-x|fk-y,False,fk-x,33.40590675191462,0.0003885003885003885
reacher,l2,0.11,0.3,0.14300000000000002,0.001,0.7367263273672633,False,1.0,False,0.5183822258225447,0.08847136050462723,False,True,fk-x|fk-y,False,fk-x,98.47631636252737,0.0003885003885003885
