lam,hidden,n_traj,seed,val_mse,rollout_rmse_final,rollout_rmse_h25,divergence_horizon,divergence_horizon_0.05,divergence_horizon_0.1,divergence_horizon_0.25,divergence_horizon_0.5,divergence_horizon_1,resid_unit-norm_th1,resid_unit-norm_th2,resid_energy,algebraic_score,rho_val_mse,rho_algebraic
10.0,32,60,0,0.0002760264615062624,1.2963955003908725,0.2756879764263928,33.25,7.083333333333333,12.583333333333334,33.25,50.416666666666664,75.75,0.05947710754161371,0.19849919321310308,0.015411864416162671,0.27338816517087944,,
10.0,32,60,1,0.00036263876245357096,1.6769894930745741,0.42210473838630774,27.666666666666668,5.833333333333333,12.583333333333334,27.666666666666668,44.416666666666664,58.25,0.09332561583678702,0.0888134989740899,0.030224431945879704,0.21236354675675662,,
10.0,32,60,2,0.00035193079384043813,0.9487891054786549,0.27308820562634284,27.5,7.25,12.5,27.5,50.0,77.58333333333333,0.06696595868059631,0.0556308031571398,0.015039836651481434,0.13763659848921755,,
10.0,128,10,0,0.001860463642515242,1.3839763447261964,0.7819525114301514,16.75,3.0,6.166666666666667,16.75,37.0,51.916666666666664,0.10841302457868918,0.19237360358219227,0.01994839188776264,0.32073502004864407,,
10.0,128,10,1,0.0029126028530299664,2.1000354263302623,0.7571498678108276,14.583333333333334,3.5,6.0,14.583333333333334,33.916666666666664,56.5,0.22104948094412147,0.10121811867939867,0.028334302128661962,0.3506019017521821,,
10.0,128,10,2,0.0036972793750464916,1.3995837048360344,0.5349900392625173,12.166666666666666,2.3333333333333335,3.9166666666666665,12.166666666666666,23.916666666666668,51.333333333333336,0.12672695854345098,0.118874454044989,0.013779586589505458,0.25938099917794544,,
10.0,128,60,0,9.988529200199991e-05,0.7091796534100664,0.1050013385202644,57.5,15.166666666666666,30.25,57.5,74.08333333333333,87.33333333333333,0.04811052789548326,0.03896334985607611,0.009708005872569597,0.09678188362412896,,
10.0,128,60,1,0.00013823123299516737,1.0491770871454338,0.11210083308080547,48.5,15.583333333333334,25.416666666666668,48.5,69.66666666666667,89.08333333333333,0.05611006210359997,0.04790128620581982,0.007479069656819116,0.1114904179662389,,
10.0,128,60,2,0.00011906077997991815,0.7555510125538372,0.1334098591738355,54.916666666666664,14.166666666666666,22.5,54.916666666666664,75.5,85.5,0.022645559735289846,0.026742611129092677,0.007719131014475371,0.057107301878857895,,
100.0,32,10,0,0.038068391382694244,2.112924703626978,2.027171536129495,3.0,1.1666666666666667,1.4166666666666667,3.0,6.0,19.333333333333332,0.15566035197515446,0.11460496615355749,0.02463914943029888,0.29490446755901084,,
100.0,32,10,1,0.028649216517806053,3.2450484337124252,1.8292709216583862,3.5833333333333335,1.0833333333333333,1.5,3.5833333333333335,6.0,15.916666666666666,0.24016386938184564,0.16977881359350575,0.019118063852217565,0.42906074682756895,,
100.0,32,10,2,0.04344303905963898,2.6530901179903617,1.7878515511282087,3.3333333333333335,1.0833333333333333,1.5,3.3333333333333335,5.833333333333333,19.083333333333332,0.12178479747184932,0.24167172800227146,0.026359424095839128,0.3898159495699599,,
100.0,32,60,0,0.004213524982333183,2.088297291828542,1.331800543418894,9.833333333333334,2.0833333333333335,3.8333333333333335,9.833333333333334,20.166666666666668,36.583333333333336,0.09949539030518549,0.08515242262387784,0.011844042201660592,0.19649185513072392,,
100.0,32,60,1,0.004610602743923664,2.383376715532969,1.5664369884925016,6.833333333333333,2.0,3.3333333333333335,6.833333333333333,15.166666666666666,29.0,0.08804046577816858,0.07384377154148128,0.021737134174031232,0.1836213714936811,,
100.0,32,60,2,0.0058169797994196415,2.101780627804711,1.1239153213899333,8.5,2.25,3.75,8.5,18.833333333333332,36.0,0.08039964766211304,0.054180816741863154,0.009116042974351979,0.14369650737832818,,
100.0,128,10,0,0.017997797578573227,1.4781300669988091,2.0803724688681644,5.25,1.1666666666666667,1.9166666666666667,5.25,11.166666666666666,27.166666666666668,0.17071333196981942,0.14165532168477032,0.02912551130616074,0.34149416496075047,,
100.0,128,10,1,0.012739913538098335,2.927441359014251,2.029795030560717,6.083333333333333,1.4166666666666667,2.5,6.083333333333333,10.916666666666666,19.333333333333332,0.3388558686420642,0.09378084939700493,0.021080299091669665,0.45371701713073875,,
100.0,128,10,2,0.017686037346720695,2.0311765617458026,1.94383803227636,4.916666666666667,1.25,2.3333333333333335,4.916666666666667,8.916666666666666,26.083333333333332,0.18202674864590307,0.117611103420578,0.017011530639452023,0.31664938270593307,,
100.0,128,60,0,0.0013318321434780955,1.7630299275354313,0.621818368649305,17.083333333333332,4.333333333333333,7.5,17.083333333333332,31.25,58.0,0.05405268861092331,0.01994794877044825,0.005791837802921626,0.0797924751842932,,
100.0,128,60,1,0.0014931259211152792,1.396567289940182,0.4482345073528648,19.416666666666668,4.75,7.25,19.416666666666668,36.5,62.0,0.04491443695791282,0.030363363450146817,0.008639911781931214,0.08391771218999085,,
100.0,128,60,2,0.0017906510038301349,1.518049561239746,0.5202255410834652,21.083333333333332,3.1666666666666665,5.416666666666667,21.083333333333332,40.25,65.33333333333333,0.03762748418108837,0.05828791142014408,0.01516756721614583,0.11108296281737828,,
