condition,seed,total_steps,final_return,auc_return,n_episodes,seconds,curve_8000,curve_16000,curve_24000,curve_32000,curve_40000,curve_48000,curve_56000,curve_64000,curve_72000,curve_80000,curve_88000,curve_96000,curve_104000,curve_112000,curve_120000
random_3,2,120000,-500.0,-500.0,241,102.93950486183167,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
random_3,3,120000,-500.0,-500.0,241,103.26357555389404,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
random_3,4,120000,-500.0,-500.0,241,103.09139275550842,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
randstep_3,0,120000,-86.96666666666667,-110.33256704980843,1156,102.90579295158386,-274.6551724137931,-131.56666666666666,-119.46666666666667,-102.13333333333334,-102.06666666666666,-98.7,-93.4,-101.6,-101.8,-89.13333333333334,-85.9,-92.63333333333334,-86.06666666666666,-84.26666666666667,-91.6
randstep_3,1,120000,-85.7,-158.2622222222222,1053,102.87162637710571,-500.0,-500.0,-212.93333333333334,-141.3,-121.83333333333333,-110.36666666666666,-107.3,-95.83333333333333,-85.16666666666667,-80.06666666666666,-83.26666666666667,-87.9,-81.6,-85.13333333333334,-81.23333333333333
randstep_3,2,120000,-87.4,-165.39333333333337,1007,102.81891560554504,-500.0,-500.0,-264.5,-139.43333333333334,-110.63333333333334,-119.36666666666666,-114.4,-119.13333333333334,-98.96666666666667,-86.26666666666667,-83.96666666666667,-85.03333333333333,-86.8,-83.33333333333333,-89.06666666666666
randstep_3,3,120000,-500.0,-500.0,241,102.85563063621521,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
randstep_3,4,120000,-87.73333333333333,-127.66868686868686,1060,102.30820822715759,-362.8636363636364,-181.03333333333333,-132.3,-136.43333333333334,-110.06666666666666,-106.93333333333334,-113.23333333333333,-115.6,-105.73333333333333,-100.23333333333333,-91.53333333333333,-91.23333333333333,-94.56666666666666,-88.6,-84.66666666666667
random_4,0,120000,-86.23333333333333,-120.46197530864198,1111,103.04377770423889,-294.962962962963,-154.1,-135.63333333333333,-131.13333333333333,-114.9,-123.7,-101.56666666666666,-98.4,-107.36666666666666,-91.23333333333333,-87.16666666666667,-92.06666666666666,-93.7,-95.3,-85.7
random_4,1,120000,-85.93333333333334,-145.71824561403508,949,102.8029100894928,-418.4736842105263,-163.96666666666667,-134.43333333333334,-180.6,-178.23333333333332,-157.36666666666667,-143.86666666666667,-112.66666666666667,-122.53333333333333,-103.06666666666666,-105.36666666666666,-93.9,-94.8,-89.73333333333333,-86.76666666666667
random_4,2,120000,-101.4,-167.52444444444444,969,102.81707048416138,-500.0,-474.9,-262.8666666666667,-147.5,-122.53333333333333,-99.9,-111.36666666666666,-97.06666666666666,-104.13333333333334,-104.33333333333333,-103.1,-93.4,-97.5,-91.46666666666667,-102.8
random_4,3,120000,-93.36666666666666,-219.73111111111112,733,102.86277866363525,-500.0,-500.0,-443.03333333333336,-269.0,-208.36666666666667,-193.9,-227.73333333333332,-173.63333333333333,-131.56666666666666,-132.1,-114.76666666666667,-111.3,-102.56666666666666,-95.46666666666667,-92.53333333333333
random_4,4,120000,-92.9,-130.68,1002,102.84513545036316,-328.1666666666667,-184.06666666666666,-169.2,-127.73333333333333,-108.06666666666666,-124.4,-111.8,-117.56666666666666,-110.36666666666666,-106.2,-102.2,-95.53333333333333,-89.63333333333334,-92.0,-93.26666666666667
